Ticker,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Last,1-Year Beta,Basic EPS (FY),EBITDA (TTM),Goodwill,Industry,Last Year Revenue (FY),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Total Debt (MRQ),Total Revenue (FY),YTD Performance,Yearly Performance,Number of Employees,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Monthly Performance,Total Assets (MRQ),Total Current Assets (MRQ),Total Shares Outstanding (MRQ)
UNIVCABLES,11280,4159979999.999999,,21.7176,Producer Manufacturing,118.05,1.319044,25.96,1659632000,,Electrical Products,15689569000,5594736000,900754000,4.80256022,0.98720303,4.46432955,9.05567772,7.99659843,,5641455000,15689569000,-26.33385335,-38.91332471,,24.13421299,3786554000,871129000,-2.79950597,21795733000,11315294000,34695400
ZENTEC,119076,4158930000.000001,7.08795914,7.6115,Electronic Technology,52.900002,1.2649577,7.62,627255000,,Aerospace & Defense,1492858000,-226195000,587687000,39.36643673,7.70538401,26.82922876,36.02300088,34.93376711,,24568000,1492858000,-6.28874922,-22.83005152,,54.835691,818619000,93549000,0.28436398,2140672000,1164573000,77160100
MANGCHEFER,313577,4153950000,6.42824374,5.4525,Process Industries,34.650002,1.0235144,5.45,1935350000,,Chemicals: Agricultural,27003077000,12048655000,645532000,2.39058682,0.91928748,2.20986619,12.40519766,8.41222471,,14354576000,27003077000,13.05057749,0.87337414,,27.29964811,7371745000,1491823000,-5.32785821,28030957000,20922705000,118515000
COFFEEDAY,394012,4140540000,,,Consumer Services,20.799999,0.20544022,6.0359,,5091000000,Restaurants,42621600000,47349900000,1275100000,,,1.2519194,5.19729843,2.37070668,2116791.65631984,72142900000,42621600000,-48.38709797,-92.50315435,20135,,11669300000,,-28.02768512,113814400000,52815900000,211252000
POKARNA,81733,4123529999.999999,5.84440388,22.8167,Producer Manufacturing,134.25,0.9634025,22.81,1289564000,,Building Products,3939103000,2415388000,707291000,17.95564065,0.5456868,9.13575769,23.22196847,14.36904454,,2736123000,3939103000,45.60738001,3.07101727,,52.78517794,2072282000.0000005,456173000,19.22735346,9197983000,1763043000,31004000
CENTUM,9159,4121850000.000001,12.85648291,24.8985,Electronic Technology,320,0.5771967,21.9148,1262605000,376227000,Electronic Components,9275370000,2593971000,282220000,4.78271046,,5.87017111,32.75375863,23.64113107,6110256.91699605,2869998000,9275370000,-11.72413793,-39.18662221,1518,20.68561876,1641920000,669127000,11.26564286,10830150000,7576305000,12884800
KARDA,78752,4117430000.000001,42.7328576,1.5632,Finance,65.25,0.4082495,1.554,273925000,,Real Estate Development,1141214000,94328000,96364000,8.44398295,1.13370088,3.46596626,9.7623885,6.84709048,,563455000,1141214000,175.08431703,62.63708063,,34.77451663,396849000,79294000,37.0222538,2905949000,2639869000,61500000
INDORAMA,22747,4099470000.000001,,-12.126,Process Industries,15.85,0.7475106,-12.14,-57100000,,Textiles,21220500000,3763300000,-3165400000,-14.91812163,0.41771971,-20.60117397,-136.68235396,-63.84261687,,3993700000,21220500000,-39.84819734,-40.41353383,,16.13298461,3423500000,808000000,5.31561462,14830900000,6306900000,261113000
GLOBUSSPR,67126,4088060000,8.19662672,17.3303,Consumer Non-Durables,142.5,0.9687469,17.33,1247396000,,Beverages: Alcoholic,11688165000,1201730000,498992000,4.26920736,0.37811202,6.16902675,11.80790572,8.68601241,,1401642000,11688165000,0.49365303,15.29126214,,32.42058955,3789372000,959849000,3.78732702,7992938000,1763644000,28799268
MUNJALSHOW,29613,4085490000,9.58239734,10.6393,Producer Manufacturing,102.05,1.4559385,10.64,546820000,,Auto Parts: OEM,12882017000,,425370000,3.30204501,3.42515619,5.47347868,6.84326011,,,,12882017000,-17.93325292,-30.10273973,,15.21533468,1960042000,472102000,6.74686416,7611191000,5045816000,39995000
ORIENTPPR,161945,4052730000,20.32779906,0.9396,Distribution Services,19.049999,1.8449867,0.94,474920000,,Wholesale Distributors,6065636000,271198000,199279000,3.28537683,0.36096191,1.12526032,1.50531503,1.49616772,,323947000,6065636000,-27.56654097,-31.72043369,,48.98015641,2970958000,607682000,-6.3882113,16950415000,1453175000,212185000
APOLLOPIPE,17227,4040970000,15.72408587,21.7404,Finance,315.79999,1.031232,21.76,460328000,,Finance/Rental/Leasing,4079581000,-504030000,285258000,6.98596253,1.49020435,6.53081783,10.62771055,8.95886422,,776471000,4079581000,-8.67553524,,,19.88385572,800758000,178175000,-3.70483904,4821320000,2947187000,13109400
RUCHINFRA,96348,4022700000,,-0.3436,Transportation,19.049999,0.6959532,-0.46,194200000,,Other Transportation,861100000,1437500000,-62200000,-7.22331901,0.77190388,-1.51528292,-4.93344607,-2.12714478,,1492900000,861100000,728.26082609,765.90904545,,32.92300546,283300000,42100000,13.05637389,3868000000,838900000,205239942
RGL,640,4022260000,4.53334183,47.0955,Consumer Durables,216.10001,1.0804511,47.1,1532019000,0,Other Consumer Specialties,25018459000,3641474000,879914000,3.69626283,0.7723337,5.72538546,13.56030923,13.54721796,,5160022000,25018459000,-38.40672543,-20.36115643,,13.86626171,3469127000,579378000,-7.07374328,15717289000,14026926000,18879400
VISAKAIND,200159,3994870000,8.11686743,31.0403,Process Industries,265.64999,1.1081814,31.0403,1088697000,0,Textiles,10477841000,2435956000,492950000,4.69304291,0.54741612,5.26031966,9.81468669,8.43998094,5148816.21621622,2628604000,10477841000,10.13681177,-26.44330684,2035,36.19427589,2441883000,835120000,2.70636005,9449914000,5136747000,15881000
SHRIRAMEPC,357356,3983270000,,-0.7978,Industrial Services,4,0.7497819,-0.79,439950000,,Engineering & Construction,12079488000,5974117000,-772633000,-6.39623136,1.62763832,-2.76960471,-6.32171078,-5.40858729,,6583212000,12079488000,-22.33009709,-52.09580838,,9.12605733,1102380000,190346000,-24.52830189,26026539000,16685560000.000002,971529000
RICOAUTO,410617,3977380000,23.94331786,1.2279,Producer Manufacturing,28.450001,1.8179153,1.23,1137400000,,Auto Parts: OEM,14010700000,3419000000,166000000,1.18409501,0.66864021,1.20428578,2.68233925,2.07800992,,3584800000,14010700000,-38.3531966,-48.83093161,,10.91308785,1529000000,351800000,-16.20029407,14282900000,5622200000,135285000
WATERBASE,224771,3976970000,21.46470343,4.4678,Process Industries,95.949997,0.77908665,4.45,322276000,,Agricultural Commodities/Milling,3224322000,-132501000,184906000,5.73469399,2.26238146,7.51430534,10.36211502,9.98489616,,94900000,3224322000,-28.71471778,,,20.82155566,671354000,81765000,-12.05316499,2380336000,1628055000,41426800
HSIL,208761,3885910000,,,Consumer Durables,54.700001,0.8928266,6.69,,107300000,Home Furnishings,18590700000,8899300000,484200000,,0.78685182,1.49722207,3.49641715,2.27771804,,9374300000,18590700000,12.55144702,-29.82479149,,,4466300000,1163600000,1.6728662,28683900000,8941600000,72296000
ZUARI,25254,3869340000,,-190.6751,Process Industries,90.449997,0.8657599,-190.68,-2224600000,,Chemicals: Agricultural,50171500000,25100800000,-7956000000,-16.00466194,0.55756054,-10.04251715,-99.55238914,-52.67110845,,28336800000,50171500000,-0.05525193,-30.76922777,,18.72239707,9445000000,2609400000,-22.89002813,65625000000,34552800000,42058006
JAYBARMARU,19079,3863440000,13.6358765,13.0428,Producer Manufacturing,177.64999,1.3761249,13.04,1410403000,,Auto Parts: OEM,16577133999.999998,3898769000,282271000,1.70277916,0.16380728,2.34019623,6.82456187,4.10403831,,3918101000,16577133999.999998,-24.45247818,-7.47396354,,11.1643176,1850722000,492006000,-9.20010269,12068335000,1859831000,21650000
IBULISL,67298,3860740000,,-33.0818,Distribution Services,47.25,1.3755658,-33.08,-2275224000,725600000,Food Distributors,2254700000,5697100000,-2955300000,-131.07377508,0.66716089,-16.17006764,-33.94403275,-28.610541,,8776100000,2254700000,-45.28083255,-72.32796486,,-2.80425313,-63200000.0000001,-72900000,5.58659218,16843000000,8609300000,82318500
ATULAUTO,72782,3836770000,7.15853619,24.4184,Consumer Durables,169.3,1.2376562,24.42,711700000,,Motor Vehicles,6253400000,-42800000,536000000,8.56973806,1.27143901,14.52395436,18.81419004,18.80362959,,7400000,6253400000,-32.89734443,-38.17783684,,18.15172546,1135100000,150800000,4.37731196,3804900000,1350600000,21943200
